"","sex","year","births"
"254","female",2071,380722
"255","female",2072,381832
"256","female",2073,382747
"257","female",2074,383444
"258","female",2075,383914
"259","female",2076,384162
"260","female",2077,384203
"261","female",2078,384041
"262","female",2079,383723
"263","female",2080,383268
"264","female",2081,382714
"265","female",2082,382111
"266","female",2083,381492
"267","female",2084,380902
"268","female",2085,380373
"269","female",2086,379933
"270","female",2087,379611
"271","female",2088,379426
"272","female",2089,379387
"273","female",2090,379501
"274","female",2091,379766
"275","female",2092,380175
"276","female",2093,380717
"277","female",2094,381374
"278","female",2095,382128
"279","female",2096,382959
"280","female",2097,383844
"281","female",2098,384749
"282","female",2099,385659
"283","female",2100,386557
"284","female",2101,387413
"285","female",2102,388212
"286","female",2103,388937
"287","female",2104,389578
"288","female",2105,390121
"289","female",2106,390573
"290","female",2107,390921
"291","female",2108,391175
"292","female",2109,391335
"293","female",2110,391418
"294","female",2111,391428
"295","female",2112,391384
"296","female",2113,391303
"297","female",2114,391195
"298","female",2115,391085
"299","female",2116,390982
"300","female",2117,390905
