"","Age","Year","Population"
"1322","46","2015",777437
"1323","47","2015",776611
"1324","48","2015",787611
"1325","49","2015",787915
"1326","50","2015",791066
"1327","51","2015",783305
"1328","52","2015",765857
"1329","53","2015",748704
"1330","54","2015",722068
"1331","55","2015",692374
"1332","56","2015",676158
"1333","57","2015",661089
"1334","58","2015",635797
"1335","59","2015",612904
"1336","60","2015",590280
"1337","61","2015",591581
"1338","62","2015",583991
"1339","63","2015",567596
"1340","64","2015",571273
"1341","65","2015",582595
"1342","66","2015",596441
"1343","67","2015",629564
"1344","68","2015",682834
"1345","69","2015",525701
"1346","70","2015",508499
"1347","71","2015",504922
"1348","72","2015",467555
"1349","73","2015",415572
"1350","74","2015",372072
"1351","75","2015",385501
"1352","76","2015",380304
"1353","77","2015",367100
"1354","78","2015",345778
"1355","79","2015",325545
"1356","80","2015",305377
"1357","81","2015",278932
"1358","82","2015",261228
"1359","83","2015",249194
"1360","84","2015",231569
"1361","85","2015",210446
"1362","86","2015",184425
"1363","87","2015",160779
"1364","88","2015",141595
"1365","89","2015",123076
"1366",NA,"2015",474968
