"","Age","Year","Population","CoB","Age group","Age group (condensed)"
"45","22",2015,706068,"Total (LFS)","20-24","15-64"
"46","22",2016,697339,"Total (LFS)","20-24","15-64"
"47","23",2015,725780,"Total (LFS)","20-24","15-64"
"48","23",2016,717990,"Total (LFS)","20-24","15-64"
"49","24",2015,751981,"Total (LFS)","20-24","15-64"
"50","24",2016,745605,"Total (LFS)","20-24","15-64"
"51","25",2015,707988,"Total (LFS)","25-29","15-64"
"52","25",2016,675463,"Total (LFS)","25-29","15-64"
"53","26",2015,733879,"Total (LFS)","25-29","15-64"
"54","26",2016,725465,"Total (LFS)","25-29","15-64"
"55","27",2015,722091,"Total (LFS)","25-29","15-64"
"56","27",2016,711427,"Total (LFS)","25-29","15-64"
"57","28",2015,756816,"Total (LFS)","25-29","15-64"
"58","28",2016,832840,"Total (LFS)","25-29","15-64"
"59","29",2015,791974,"Total (LFS)","25-29","15-64"
"60","29",2016,819245,"Total (LFS)","25-29","15-64"
"61","30",2015,690826,"Total (LFS)","30-34","15-64"
"62","30",2016,752774,"Total (LFS)","30-34","15-64"
"63","31",2015,660309,"Total (LFS)","30-34","15-64"
"64","31",2016,717567,"Total (LFS)","30-34","15-64"
"65","32",2015,761937,"Total (LFS)","30-34","15-64"
"66","32",2016,704321,"Total (LFS)","30-34","15-64"
"67","33",2015,781264,"Total (LFS)","30-34","15-64"
"68","33",2016,766903,"Total (LFS)","30-34","15-64"
"69","34",2015,802982,"Total (LFS)","30-34","15-64"
"70","34",2016,776982,"Total (LFS)","30-34","15-64"
"71","35",2015,729572,"Total (LFS)","35-39","15-64"
"72","35",2016,711848,"Total (LFS)","35-39","15-64"
"73","36",2015,711840,"Total (LFS)","35-39","15-64"
"74","36",2016,761965,"Total (LFS)","35-39","15-64"
"75","37",2015,706226,"Total (LFS)","35-39","15-64"
"76","37",2016,691230,"Total (LFS)","35-39","15-64"
"77","38",2015,669387,"Total (LFS)","35-39","15-64"
"78","38",2016,662868,"Total (LFS)","35-39","15-64"
"79","39",2015,625194,"Total (LFS)","35-39","15-64"
"80","39",2016,698866,"Total (LFS)","35-39","15-64"
"81","40",2015,679894,"Total (LFS)","40-44","15-64"
"82","40",2016,674994,"Total (LFS)","40-44","15-64"
"83","41",2015,727266,"Total (LFS)","40-44","15-64"
"84","41",2016,685025,"Total (LFS)","40-44","15-64"
"85","42",2015,698481,"Total (LFS)","40-44","15-64"
"86","42",2016,708991,"Total (LFS)","40-44","15-64"
"87","43",2015,712907,"Total (LFS)","40-44","15-64"
"88","43",2016,730790,"Total (LFS)","40-44","15-64"
"89","44",2015,802301,"Total (LFS)","40-44","15-64"
"90","44",2016,722505,"Total (LFS)","40-44","15-64"
"91","45",2015,797033,"Total (LFS)","45-49","15-64"
"92","45",2016,803060,"Total (LFS)","45-49","15-64"
"93","46",2015,766011,"Total (LFS)","45-49","15-64"
"94","46",2016,746871,"Total (LFS)","45-49","15-64"
"95","47",2015,745586,"Total (LFS)","45-49","15-64"
"96","47",2016,772463,"Total (LFS)","45-49","15-64"
"97","48",2015,783439,"Total (LFS)","45-49","15-64"
"98","48",2016,770955,"Total (LFS)","45-49","15-64"
"99","49",2015,776944,"Total (LFS)","45-49","15-64"
"100","49",2016,767605,"Total (LFS)","45-49","15-64"
"101","50",2015,785858,"Total (LFS)","50-54","15-64"
"102","50",2016,772388,"Total (LFS)","50-54","15-64"
"103","51",2015,780581,"Total (LFS)","50-54","15-64"
"104","51",2016,787956,"Total (LFS)","50-54","15-64"
"105","52",2015,736204,"Total (LFS)","50-54","15-64"
"106","52",2016,785540,"Total (LFS)","50-54","15-64"
"107","53",2015,758798,"Total (LFS)","50-54","15-64"
"108","53",2016,762982,"Total (LFS)","50-54","15-64"
"109","54",2015,720068,"Total (LFS)","50-54","15-64"
"110","54",2016,737048,"Total (LFS)","50-54","15-64"
"111","55",2015,664939,"Total (LFS)","55-59","15-64"
"112","55",2016,687906,"Total (LFS)","55-59","15-64"
"113","56",2015,638235,"Total (LFS)","55-59","15-64"
"114","56",2016,684466,"Total (LFS)","55-59","15-64"
"115","57",2015,661523,"Total (LFS)","55-59","15-64"
"116","57",2016,675619,"Total (LFS)","55-59","15-64"
"117","58",2015,658648,"Total (LFS)","55-59","15-64"
"118","58",2016,681011,"Total (LFS)","55-59","15-64"
"119","59",2015,628638,"Total (LFS)","55-59","15-64"
"120","59",2016,620952,"Total (LFS)","55-59","15-64"
"121","60",2015,585672,"Total (LFS)","60-64","15-64"
"122","60",2016,590976,"Total (LFS)","60-64","15-64"
"123","61",2015,548135,"Total (LFS)","60-64","15-64"
"124","61",2016,575768,"Total (LFS)","60-64","15-64"
"125","62",2015,592812,"Total (LFS)","60-64","15-64"
"126","62",2016,578281,"Total (LFS)","60-64","15-64"
"127","63",2015,572835,"Total (LFS)","60-64","15-64"
"128","63",2016,584488,"Total (LFS)","60-64","15-64"
"129","64",2015,589811,"Total (LFS)","60-64","15-64"
"130","64",2016,582880,"Total (LFS)","60-64","15-64"
"131","65",2015,611664,"Total (LFS)","65-69","65+"
"132","65",2016,551220,"Total (LFS)","65-69","65+"
"133","66",2015,581863,"Total (LFS)","65-69","65+"
"134","66",2016,572998,"Total (LFS)","65-69","65+"
"135","67",2015,646519,"Total (LFS)","65-69","65+"
"136","67",2016,583249,"Total (LFS)","65-69","65+"
"137","68",2015,630885,"Total (LFS)","65-69","65+"
"138","68",2016,657402,"Total (LFS)","65-69","65+"
"139","69",2015,522462,"Total (LFS)","65-69","65+"
"140","69",2016,645389,"Total (LFS)","65-69","65+"
"141","70",2015,522925,"Total (LFS)","70-74","65+"
"142","70",2016,534342,"Total (LFS)","70-74","65+"
"143","71",2015,500586,"Total (LFS)","70-74","65+"
"144","71",2016,542259,"Total (LFS)","70-74","65+"
"145","72",2015,474661,"Total (LFS)","70-74","65+"
"146","72",2016,476686,"Total (LFS)","70-74","65+"
"147","73",2015,369384,"Total (LFS)","70-74","65+"
"148","73",2016,446340,"Total (LFS)","70-74","65+"
"149","74",2015,371124,"Total (LFS)","70-74","65+"
"150","74",2016,347987,"Total (LFS)","70-74","65+"
"151","75",2015,389575,"Total (LFS)","75-79","65+"
"152","75",2016,406133,"Total (LFS)","75-79","65+"
"153","76",2015,336755,"Total (LFS)","75-79","65+"
"154","76",2016,324759,"Total (LFS)","75-79","65+"
"155","77",2015,359570,"Total (LFS)","75-79","65+"
"156","77",2016,372670,"Total (LFS)","75-79","65+"
"157","78",2015,331814,"Total (LFS)","75-79","65+"
"158","78",2016,329309,"Total (LFS)","75-79","65+"
"159","79",2015,347181,"Total (LFS)","75-79","65+"
"160","79",2016,326056,"Total (LFS)","75-79","65+"
"161","80",2015,364518,"Total (LFS)","80-84","65+"
"162","80",2016,306424,"Total (LFS)","80-84","65+"
"163","81",2015,241548,"Total (LFS)","80-84","65+"
"164","81",2016,328922,"Total (LFS)","80-84","65+"
"165","82",2015,218110,"Total (LFS)","80-84","65+"
"166","82",2016,223874,"Total (LFS)","80-84","65+"
"167","83",2015,208524,"Total (LFS)","80-84","65+"
"168","83",2016,291124,"Total (LFS)","80-84","65+"
"169","84",2015,225205,"Total (LFS)","80-84","65+"
"170","84",2016,188020,"Total (LFS)","80-84","65+"
"171","85",2015,199148,"Total (LFS)","85-89","65+"
"172","85",2016,215245,"Total (LFS)","85-89","65+"
"173","86",2015,184102,"Total (LFS)","85-89","65+"
"174","86",2016,179271,"Total (LFS)","85-89","65+"
"175","87",2015,146028,"Total (LFS)","85-89","65+"
"176","87",2016,169926,"Total (LFS)","85-89","65+"
"177","88",2015,123638,"Total (LFS)","85-89","65+"
"178","88",2016,99253,"Total (LFS)","85-89","65+"
"179","89",2015,110189,"Total (LFS)","85-89","65+"
"180","89",2016,103409,"Total (LFS)","85-89","65+"
"181","90+",2015,336264,"Total (LFS)","90+","65+"
"182","90+",2016,297270,"Total (LFS)","90+","65+"
"183",NA,NA,NA,"Total",NA,NA
"184","0",2001,557502,"Total","0-4","0-14"
"185","1",2001,572104,"Total","0-4","0-14"
"186","2",2001,586546,"Total","0-4","0-14"
"187","3",2001,596281,"Total","0-4","0-14"
"188","4",2001,611406,"Total","0-4","0-14"
"189","5",2001,607008,"Total","5-9","0-14"
"190","6",2001,608881,"Total","5-9","0-14"
"191","7",2001,623653,"Total","5-9","0-14"
"192","8",2001,630796,"Total","5-9","0-14"
"193","9",2001,650450,"Total","5-9","0-14"
"194","10",2001,660955,"Total","10-14","0-14"
"195","11",2001,650382,"Total","10-14","0-14"
"196","12",2001,642727,"Total","10-14","0-14"
"197","13",2001,650171,"Total","10-14","0-14"
"198","14",2001,633826,"Total","10-14","0-14"
"199","15",2001,625706,"Total","15-19","15-64"
"200","16",2001,629729,"Total","15-19","15-64"
"201","17",2001,607690,"Total","15-19","15-64"
"202","18",2001,593746,"Total","15-19","15-64"
"203","19",2001,588129,"Total","15-19","15-64"
"204","20",2001,612518,"Total","20-24","15-64"
"205","21",2001,616613,"Total","20-24","15-64"
"206","22",2001,599160,"Total","20-24","15-64"
"207","23",2001,576893,"Total","20-24","15-64"
"208","24",2001,581400,"Total","20-24","15-64"
"209","25",2001,603724,"Total","25-29","15-64"
"210","26",2001,630571,"Total","25-29","15-64"
"211","27",2001,654561,"Total","25-29","15-64"
"212","28",2001,696247,"Total","25-29","15-64"
"213","29",2001,735365,"Total","25-29","15-64"
"214","30",2001,756225,"Total","30-34","15-64"
"215","31",2001,750268,"Total","30-34","15-64"
"216","32",2001,770400,"Total","30-34","15-64"
"217","33",2001,777463,"Total","30-34","15-64"
"218","34",2001,796206,"Total","30-34","15-64"
"219","35",2001,796931,"Total","35-39","15-64"
"220","36",2001,798783,"Total","35-39","15-64"
"221","37",2001,790570,"Total","35-39","15-64"
"222","38",2001,776545,"Total","35-39","15-64"
"223","39",2001,756143,"Total","35-39","15-64"
"224","40",2001,736326,"Total","40-44","15-64"
"225","41",2001,708830,"Total","40-44","15-64"
"226","42",2001,694600,"Total","40-44","15-64"
"227","43",2001,685074,"Total","40-44","15-64"
"228","44",2001,663083,"Total","40-44","15-64"
"229","45",2001,640280,"Total","45-49","15-64"
"230","46",2001,624378,"Total","45-49","15-64"
"231","47",2001,627954,"Total","45-49","15-64"
"232","48",2001,621132,"Total","45-49","15-64"
"233","49",2001,615223,"Total","45-49","15-64"
"234","50",2001,617818,"Total","50-54","15-64"
"235","51",2001,636516,"Total","50-54","15-64"
"236","52",2001,657414,"Total","50-54","15-64"
"237","53",2001,707124,"Total","50-54","15-64"
"238","54",2001,745951,"Total","50-54","15-64"
"239","55",2001,607770,"Total","55-59","15-64"
"240","56",2001,593845,"Total","55-59","15-64"
"241","57",2001,579578,"Total","55-59","15-64"
"242","58",2001,553477,"Total","55-59","15-64"
"243","59",2001,498114,"Total","55-59","15-64"
"244","60",2001,467092,"Total","60-64","15-64"
"245","61",2001,487005,"Total","60-64","15-64"
"246","62",2001,488071,"Total","60-64","15-64"
"247","63",2001,482757,"Total","60-64","15-64"
"248","64",2001,470534,"Total","60-64","15-64"
"249","65",2001,456222,"Total","65-69","65+"
"250","66",2001,441673,"Total","65-69","65+"
"251","67",2001,423029,"Total","65-69","65+"
"252","68",2001,419424,"Total","65-69","65+"
"253","69",2001,419748,"Total","65-69","65+"
"254","70",2001,418497,"Total","70-74","65+"
"255","71",2001,406238,"Total","70-74","65+"
"256","72",2001,389768,"Total","70-74","65+"
"257","73",2001,372608,"Total","70-74","65+"
"258","74",2001,365793,"Total","70-74","65+"
"259","75",2001,354946,"Total","75-79","65+"
"260","76",2001,339266,"Total","75-79","65+"
"261","77",2001,326016,"Total","75-79","65+"
"262","78",2001,313336,"Total","75-79","65+"
"263","79",2001,311163,"Total","75-79","65+"
"264","80",2001,308622,"Total","80-84","65+"
"265","81",2001,287067,"Total","80-84","65+"
"266","82",2001,200110,"Total","80-84","65+"
"267","83",2001,160327,"Total","80-84","65+"
"268","84",2001,162830,"Total","80-84","65+"
"269","85",2001,155219,"Total","85-89","65+"
"270","86",2001,148434,"Total","85-89","65+"
"271","87",2001,130533,"Total","85-89","65+"
"272","88",2001,111700,"Total","85-89","65+"
"273","89",2001,92390,"Total","85-89","65+"
"274",NA,2001,320567,"Total",NA,NA
"275","0",2002,559072,"Total","0-4","0-14"
"276","1",2002,559188,"Total","0-4","0-14"
"277","2",2002,574416,"Total","0-4","0-14"
"278","3",2002,589440,"Total","0-4","0-14"
"279","4",2002,599405,"Total","0-4","0-14"
"280","5",2002,614820,"Total","5-9","0-14"
"281","6",2002,610238,"Total","5-9","0-14"
"282","7",2002,611499,"Total","5-9","0-14"
"283","8",2002,626939,"Total","5-9","0-14"
"284","9",2002,632843,"Total","5-9","0-14"
"285","10",2002,652912,"Total","10-14","0-14"
"286","11",2002,663404,"Total","10-14","0-14"
"287","12",2002,650721,"Total","10-14","0-14"
"288","13",2002,642301,"Total","10-14","0-14"
"289","14",2002,648646,"Total","10-14","0-14"
"290","15",2002,632470,"Total","15-19","15-64"
"291","16",2002,626288,"Total","15-19","15-64"
"292","17",2002,630897,"Total","15-19","15-64"
"293","18",2002,611942,"Total","15-19","15-64"
"294","19",2002,602402,"Total","15-19","15-64"
"295","20",2002,596031,"Total","20-24","15-64"
"296","21",2002,623727,"Total","20-24","15-64"
"297","22",2002,631273,"Total","20-24","15-64"
"298","23",2002,614417,"Total","20-24","15-64"
"299","24",2002,590051,"Total","20-24","15-64"
"300","25",2002,592793,"Total","25-29","15-64"
"301","26",2002,613740,"Total","25-29","15-64"
"302","27",2002,639044,"Total","25-29","15-64"
"303","28",2002,662416,"Total","25-29","15-64"
"304","29",2002,702910,"Total","25-29","15-64"
"305","30",2002,737388,"Total","30-34","15-64"
"306","31",2002,758547,"Total","30-34","15-64"
"307","32",2002,752195,"Total","30-34","15-64"
"308","33",2002,771688,"Total","30-34","15-64"
"309","34",2002,778255,"Total","30-34","15-64"
"310","35",2002,797150,"Total","35-39","15-64"
"311","36",2002,798043,"Total","35-39","15-64"
"312","37",2002,799886,"Total","35-39","15-64"
"313","38",2002,791707,"Total","35-39","15-64"
"314","39",2002,777880,"Total","35-39","15-64"
"315","40",2002,759053,"Total","40-44","15-64"
"316","41",2002,738179,"Total","40-44","15-64"
"317","42",2002,710610,"Total","40-44","15-64"
"318","43",2002,696153,"Total","40-44","15-64"
"319","44",2002,686134,"Total","40-44","15-64"
"320","45",2002,659475,"Total","45-49","15-64"
"321","46",2002,637082,"Total","45-49","15-64"
"322","47",2002,620510,"Total","45-49","15-64"
"323","48",2002,624345,"Total","45-49","15-64"
"324","49",2002,618189,"Total","45-49","15-64"
"325","50",2002,613054,"Total","50-54","15-64"
"326","51",2002,615886,"Total","50-54","15-64"
"327","52",2002,634206,"Total","50-54","15-64"
"328","53",2002,654633,"Total","50-54","15-64"
"329","54",2002,703103,"Total","50-54","15-64"
"330","55",2002,743699,"Total","55-59","15-64"
"331","56",2002,602983,"Total","55-59","15-64"
"332","57",2002,589067,"Total","55-59","15-64"
"333","58",2002,576221,"Total","55-59","15-64"
"334","59",2002,549000,"Total","55-59","15-64"
"335","60",2002,494062,"Total","60-64","15-64"
"336","61",2002,462138,"Total","60-64","15-64"
"337","62",2002,481872,"Total","60-64","15-64"
"338","63",2002,482751,"Total","60-64","15-64"
"339","64",2002,477024,"Total","60-64","15-64"
"340","65",2002,463742,"Total","65-69","65+"
"341","66",2002,449207,"Total","65-69","65+"
"342","67",2002,434613,"Total","65-69","65+"
"343","68",2002,415454,"Total","65-69","65+"
"344","69",2002,411016,"Total","65-69","65+"
"345","70",2002,410775,"Total","70-74","65+"
"346","71",2002,408208,"Total","70-74","65+"
"347","72",2002,395400,"Total","70-74","65+"
"348","73",2002,378019,"Total","70-74","65+"
"349","74",2002,360196,"Total","70-74","65+"
"350","75",2002,352165,"Total","75-79","65+"
"351","76",2002,340193,"Total","75-79","65+"
"352","77",2002,323900,"Total","75-79","65+"
"353","78",2002,309949,"Total","75-79","65+"
"354","79",2002,296628,"Total","75-79","65+"
"355","80",2002,292254,"Total","80-84","65+"
"356","81",2002,287985,"Total","80-84","65+"
"357","82",2002,265030,"Total","80-84","65+"
"358","83",2002,185183,"Total","80-84","65+"
"359","84",2002,145996,"Total","80-84","65+"
"360","85",2002,146730,"Total","85-89","65+"
"361","86",2002,138062,"Total","85-89","65+"
"362","87",2002,130664,"Total","85-89","65+"
"363","88",2002,113448,"Total","85-89","65+"
"364","89",2002,95465,"Total","85-89","65+"
"365",NA,2002,330572,"Total",NA,NA
"366","0",2003,575898,"Total","0-4","0-14"
"367","1",2003,559670,"Total","0-4","0-14"
"368","2",2003,561672,"Total","0-4","0-14"
"369","3",2003,577061,"Total","0-4","0-14"
"370","4",2003,592909,"Total","0-4","0-14"
"371","5",2003,603012,"Total","5-9","0-14"
"372","6",2003,618423,"Total","5-9","0-14"
"373","7",2003,614219,"Total","5-9","0-14"
"374","8",2003,614737,"Total","5-9","0-14"
"375","9",2003,630410,"Total","5-9","0-14"
"376","10",2003,635470,"Total","10-14","0-14"
"377","11",2003,655147,"Total","10-14","0-14"
"378","12",2003,665542,"Total","10-14","0-14"
"379","13",2003,651555,"Total","10-14","0-14"
"380","14",2003,642784,"Total","10-14","0-14"
"381","15",2003,650495,"Total","15-19","15-64"
"382","16",2003,634417,"Total","15-19","15-64"
"383","17",2003,630318,"Total","15-19","15-64"
"384","18",2003,637983,"Total","15-19","15-64"
"385","19",2003,622459,"Total","15-19","15-64"
"386","20",2003,608883,"Total","20-24","15-64"
"387","21",2003,607081,"Total","20-24","15-64"
"388","22",2003,636193,"Total","20-24","15-64"
"389","23",2003,645179,"Total","20-24","15-64"
"390","24",2003,628006,"Total","20-24","15-64"
"391","25",2003,600961,"Total","25-29","15-64"
"392","26",2003,603217,"Total","25-29","15-64"
"393","27",2003,622938,"Total","25-29","15-64"
"394","28",2003,647392,"Total","25-29","15-64"
"395","29",2003,669860,"Total","25-29","15-64"
"396","30",2003,705708,"Total","30-34","15-64"
"397","31",2003,739403,"Total","30-34","15-64"
"398","32",2003,761424,"Total","30-34","15-64"
"399","33",2003,753478,"Total","30-34","15-64"
"400","34",2003,772638,"Total","30-34","15-64"
"401","35",2003,779044,"Total","35-39","15-64"
"402","36",2003,797142,"Total","35-39","15-64"
"403","37",2003,798308,"Total","35-39","15-64"
"404","38",2003,800337,"Total","35-39","15-64"
"405","39",2003,792520,"Total","35-39","15-64"
"406","40",2003,777246,"Total","40-44","15-64"
"407","41",2003,758729,"Total","40-44","15-64"
"408","42",2003,737587,"Total","40-44","15-64"
"409","43",2003,710041,"Total","40-44","15-64"
"410","44",2003,695616,"Total","40-44","15-64"
"411","45",2003,684913,"Total","45-49","15-64"
"412","46",2003,658477,"Total","45-49","15-64"
"413","47",2003,636182,"Total","45-49","15-64"
"414","48",2003,618962,"Total","45-49","15-64"
"415","49",2003,622908,"Total","45-49","15-64"
"416","50",2003,615969,"Total","50-54","15-64"
"417","51",2003,609813,"Total","50-54","15-64"
"418","52",2003,612857,"Total","50-54","15-64"
"419","53",2003,630774,"Total","50-54","15-64"
"420","54",2003,650785,"Total","50-54","15-64"
"421","55",2003,696732,"Total","55-59","15-64"
"422","56",2003,739466,"Total","55-59","15-64"
"423","57",2003,596688,"Total","55-59","15-64"
"424","58",2003,583159,"Total","55-59","15-64"
"425","59",2003,571623,"Total","55-59","15-64"
"426","60",2003,544274,"Total","60-64","15-64"
"427","61",2003,489775,"Total","60-64","15-64"
"428","62",2003,456714,"Total","60-64","15-64"
"429","63",2003,476283,"Total","60-64","15-64"
"430","64",2003,476991,"Total","60-64","15-64"
"431","65",2003,470131,"Total","65-69","65+"
"432","66",2003,456287,"Total","65-69","65+"
"433","67",2003,441787,"Total","65-69","65+"
"434","68",2003,427136,"Total","65-69","65+"
"435","69",2003,407126,"Total","65-69","65+"
"436","70",2003,401983,"Total","70-74","65+"
"437","71",2003,401191,"Total","70-74","65+"
"438","72",2003,397268,"Total","70-74","65+"
"439","73",2003,383808,"Total","70-74","65+"
"440","74",2003,365734,"Total","70-74","65+"
"441","75",2003,347254,"Total","75-79","65+"
"442","76",2003,337785,"Total","75-79","65+"
"443","77",2003,324901,"Total","75-79","65+"
"444","78",2003,307977,"Total","75-79","65+"
"445","79",2003,293156,"Total","75-79","65+"
"446","80",2003,278916,"Total","80-84","65+"
"447","81",2003,273151,"Total","80-84","65+"
"448","82",2003,266722,"Total","80-84","65+"
"449","83",2003,242773,"Total","80-84","65+"
"450","84",2003,170294,"Total","80-84","65+"
"451","85",2003,131445,"Total","85-89","65+"
"452","86",2003,130797,"Total","85-89","65+"
"453","87",2003,121222,"Total","85-89","65+"
"454","88",2003,113634,"Total","85-89","65+"
"455","89",2003,96967,"Total","85-89","65+"
"456",NA,2003,339615,"Total",NA,NA
"457","0",2004,597087,"Total","0-4","0-14"
"458","1",2004,575093,"Total","0-4","0-14"
"459","2",2004,560054,"Total","0-4","0-14"
"460","3",2004,563931,"Total","0-4","0-14"
"461","4",2004,579825,"Total","0-4","0-14"
"462","5",2004,596528,"Total","5-9","0-14"
"463","6",2004,606000,"Total","5-9","0-14"
"464","7",2004,621878,"Total","5-9","0-14"
"465","8",2004,617893,"Total","5-9","0-14"
"466","9",2004,617567,"Total","5-9","0-14"
"467","10",2004,632425,"Total","10-14","0-14"
"468","11",2004,636571,"Total","10-14","0-14"
"469","12",2004,655097,"Total","10-14","0-14"
"470","13",2004,665401,"Total","10-14","0-14"
"471","14",2004,649740,"Total","10-14","0-14"
"472","15",2004,644054,"Total","15-19","15-64"
"473","16",2004,652594,"Total","15-19","15-64"
"474","17",2004,636158,"Total","15-19","15-64"
"475","18",2004,636682,"Total","15-19","15-64"
"476","19",2004,649084,"Total","15-19","15-64"
"477","20",2004,630928,"Total","20-24","15-64"
"478","21",2004,624523,"Total","20-24","15-64"
"479","22",2004,627661,"Total","20-24","15-64"
"480","23",2004,656866,"Total","20-24","15-64"
"481","24",2004,666626,"Total","20-24","15-64"
"482","25",2004,641493,"Total","25-29","15-64"
"483","26",2004,611604,"Total","25-29","15-64"
"484","27",2004,612991,"Total","25-29","15-64"
"485","28",2004,632020,"Total","25-29","15-64"
"486","29",2004,655221,"Total","25-29","15-64"
"487","30",2004,671763,"Total","30-34","15-64"
"488","31",2004,707659,"Total","30-34","15-64"
"489","32",2004,740197,"Total","30-34","15-64"
"490","33",2004,762433,"Total","30-34","15-64"
"491","34",2004,753567,"Total","30-34","15-64"
"492","35",2004,773674,"Total","35-39","15-64"
"493","36",2004,779322,"Total","35-39","15-64"
"494","37",2004,796931,"Total","35-39","15-64"
"495","38",2004,798103,"Total","35-39","15-64"
"496","39",2004,800278,"Total","35-39","15-64"
"497","40",2004,790918,"Total","40-44","15-64"
"498","41",2004,775413,"Total","40-44","15-64"
"499","42",2004,757677,"Total","40-44","15-64"
"500","43",2004,735705,"Total","40-44","15-64"
"501","44",2004,708471,"Total","40-44","15-64"
"502","45",2004,694444,"Total","45-49","15-64"
"503","46",2004,683283,"Total","45-49","15-64"
"504","47",2004,656854,"Total","45-49","15-64"
"505","48",2004,634734,"Total","45-49","15-64"
"506","49",2004,616718,"Total","45-49","15-64"
"507","50",2004,619389,"Total","50-54","15-64"
"508","51",2004,612944,"Total","50-54","15-64"
"509","52",2004,605649,"Total","50-54","15-64"
"510","53",2004,609051,"Total","50-54","15-64"
"511","54",2004,626331,"Total","50-54","15-64"
"512","55",2004,646422,"Total","55-59","15-64"
"513","56",2004,690908,"Total","55-59","15-64"
"514","57",2004,735994,"Total","55-59","15-64"
"515","58",2004,591242,"Total","55-59","15-64"
"516","59",2004,577547,"Total","55-59","15-64"
"517","60",2004,567349,"Total","60-64","15-64"
"518","61",2004,538939,"Total","60-64","15-64"
"519","62",2004,484664,"Total","60-64","15-64"
"520","63",2004,450629,"Total","60-64","15-64"
"521","64",2004,469943,"Total","60-64","15-64"
"522","65",2004,469704,"Total","65-69","65+"
"523","66",2004,462860,"Total","65-69","65+"
"524","67",2004,448542,"Total","65-69","65+"
"525","68",2004,433634,"Total","65-69","65+"
"526","69",2004,418632,"Total","65-69","65+"
"527","70",2004,398479,"Total","70-74","65+"
"528","71",2004,392444,"Total","70-74","65+"
"529","72",2004,390808,"Total","70-74","65+"
"530","73",2004,385862,"Total","70-74","65+"
"531","74",2004,371782,"Total","70-74","65+"
"532","75",2004,352724,"Total","75-79","65+"
"533","76",2004,333902,"Total","75-79","65+"
"534","77",2004,322960,"Total","75-79","65+"
"535","78",2004,309201,"Total","75-79","65+"
"536","79",2004,291641,"Total","75-79","65+"
"537","80",2004,275976,"Total","80-84","65+"
"538","81",2004,260834,"Total","80-84","65+"
"539","82",2004,253561,"Total","80-84","65+"
"540","83",2004,245130,"Total","80-84","65+"
"541","84",2004,220242,"Total","80-84","65+"
"542","85",2004,155275,"Total","85-89","65+"
"543","86",2004,116735,"Total","85-89","65+"
"544","87",2004,115021,"Total","85-89","65+"
"545","88",2004,104845,"Total","85-89","65+"
"546","89",2004,97353,"Total","85-89","65+"
"547",NA,2004,347713,"Total",NA,NA
"548","0",2005,606776,"Total","0-4","0-14"
"549","1",2005,596809,"Total","0-4","0-14"
"550","2",2005,575954,"Total","0-4","0-14"
"551","3",2005,561503,"Total","0-4","0-14"
"552","4",2005,566945,"Total","0-4","0-14"
"553","5",2005,581227,"Total","5-9","0-14"
"554","6",2005,598226,"Total","5-9","0-14"
"555","7",2005,607633,"Total","5-9","0-14"
"556","8",2005,623497,"Total","5-9","0-14"
"557","9",2005,620142,"Total","5-9","0-14"
"558","10",2005,620214,"Total","10-14","0-14"
"559","11",2005,635666,"Total","10-14","0-14"
"560","12",2005,638363,"Total","10-14","0-14"
"561","13",2005,656325,"Total","10-14","0-14"
"562","14",2005,666445,"Total","10-14","0-14"
"563","15",2005,652454,"Total","15-19","15-64"
"564","16",2005,647480,"Total","15-19","15-64"
"565","17",2005,655938,"Total","15-19","15-64"
"566","18",2005,642597,"Total","15-19","15-64"
"567","19",2005,649820,"Total","15-19","15-64"
"568","20",2005,660529,"Total","20-24","15-64"
"569","21",2005,648643,"Total","20-24","15-64"
"570","22",2005,649227,"Total","20-24","15-64"
"571","23",2005,653305,"Total","20-24","15-64"
"572","24",2005,682023,"Total","20-24","15-64"
"573","25",2005,687077,"Total","25-29","15-64"
"574","26",2005,660636,"Total","25-29","15-64"
"575","27",2005,627065,"Total","25-29","15-64"
"576","28",2005,628017,"Total","25-29","15-64"
"577","29",2005,645467,"Total","25-29","15-64"
"578","30",2005,663500,"Total","30-34","15-64"
"579","31",2005,678563,"Total","30-34","15-64"
"580","32",2005,713883,"Total","30-34","15-64"
"581","33",2005,744807,"Total","30-34","15-64"
"582","34",2005,767466,"Total","30-34","15-64"
"583","35",2005,757863,"Total","35-39","15-64"
"584","36",2005,777087,"Total","35-39","15-64"
"585","37",2005,782018,"Total","35-39","15-64"
"586","38",2005,798556,"Total","35-39","15-64"
"587","39",2005,799472,"Total","35-39","15-64"
"588","40",2005,801371,"Total","40-44","15-64"
"589","41",2005,791873,"Total","40-44","15-64"
"590","42",2005,775994,"Total","40-44","15-64"
"591","43",2005,758661,"Total","40-44","15-64"
"592","44",2005,735938,"Total","40-44","15-64"
"593","45",2005,707494,"Total","45-49","15-64"
"594","46",2005,693468,"Total","45-49","15-64"
"595","47",2005,681619,"Total","45-49","15-64"
"596","48",2005,655340,"Total","45-49","15-64"
"597","49",2005,633354,"Total","45-49","15-64"
"598","50",2005,614785,"Total","50-54","15-64"
"599","51",2005,617608,"Total","50-54","15-64"
"600","52",2005,611514,"Total","50-54","15-64"
"601","53",2005,603137,"Total","50-54","15-64"
"602","54",2005,606763,"Total","50-54","15-64"
"603","55",2005,623021,"Total","55-59","15-64"
"604","56",2005,642358,"Total","55-59","15-64"
