"","sex","year","outflow"
"254","female",2071,140854
"255","female",2072,140854
"256","female",2073,140854
"257","female",2074,140854
"258","female",2075,140854
"259","female",2076,140854
"260","female",2077,140854
"261","female",2078,140854
"262","female",2079,140854
"263","female",2080,140854
"264","female",2081,140854
"265","female",2082,140854
"266","female",2083,140854
"267","female",2084,140854
"268","female",2085,140854
"269","female",2086,140854
"270","female",2087,140854
"271","female",2088,140854
"272","female",2089,140854
"273","female",2090,140854
"274","female",2091,140854
"275","female",2092,140854
"276","female",2093,140854
"277","female",2094,140854
"278","female",2095,140854
"279","female",2096,140854
"280","female",2097,140854
"281","female",2098,140854
"282","female",2099,140854
"283","female",2100,140854
"284","female",2101,140854
"285","female",2102,140854
"286","female",2103,140854
"287","female",2104,140854
"288","female",2105,140854
"289","female",2106,140854
"290","female",2107,140854
"291","female",2108,140854
"292","female",2109,140854
"293","female",2110,140854
"294","female",2111,140854
"295","female",2112,140854
"296","female",2113,140854
"297","female",2114,140854
"298","female",2115,140854
"299","female",2116,140854
"300","female",2117,140854
